Id;Ecole;Commune;Langue;Sector;Course;Level;Degree;Mode;Price;Price_id;Duration;Duration_id
1;82;6621;Français;225;Communication d'entreprise;4;164;4;0;4;30;4
2;82;6621;Français;236;Management international;4;164;4;0;4;30;4
3;82;6621;Français;236;Management-Marketing;4;164;6;0;4;42;4
4;82;6621;Français;225;MBA francophone;1;194;3;0;4;18;4
5;82;6621;Français;225;Executive MBA francophone;1;194;3;0;4;18;4
6;82;6621;Français;225;DBA en sciences de gestion;4;185;3;0;4;0;6
7;82;6621;Français;236;Management - Marketing;3;181;3;0;4;0;6
8;82;6621;Français;237;Marketing digital;1;187;3;0;4;12;4
9;82;6621;Français;224;Management de projets sociaux;2;187;2;0;4;10;3
10;82;6621;Français;225;Transmission d'entreprise;2;187;2;0;4;18;3
11;82;6621;Français;271;Performance et excellence dans la vente;2;187;2;0;4;6;3
12;82;6621;Français;225;Rédacteur en entreprise;2;187;2;0;4;3.5;3
13;82;6621;Français;225;Séminaire sur mesure;2;187;2;0;4;1;3
14;81;5589;Français;225;Agent de processus;3;165;3;12000;1;18;4
15;81;6458;Français;225;Agent de processus;3;165;3;12000;1;18;4
16;81;5589;Français;225;Processus d'entreprise - technicien (ES);3;182;3;24000;1;36;4
17;81;6458;Français;225;Processus d'entreprise - technicien (ES);3;182;3;24000;1;36;4
18;81;5589;Français;217;Energie et environnement - technicien (ES);3;182;3;24000;1;36;4
19;81;6458;Français;217;Energie et environnement - technicien (ES);3;182;3;24000;1;36;4
20;81;5589;Français;225;Agent de maintenance;3;165;3;8000;1;12;4
21;81;6458;Français;225;Agent de maintenance;3;165;3;8000;1;12;4
22;81;5589;Français;225;Gestion d'entreprise (EPD - ES);3;182;3;12000;1;18;4
23;81;6458;Français;225;Gestion d'entreprise (EPD - ES);3;182;3;12000;1;18;4
24;81;5589;Français;225;Dirigeant;3;184;3;0;4;12;4
25;81;6458;Français;225;Dirigeant;3;184;3;0;4;12;4
26;114;5589;Français;236;Chef d'équipe;2;155;2;7190;1;13;3
28;114;5589;Français;236;Chef d'équipe;2;155;2;7720;1;14;3
30;114;5589;Français;236;Chef de projet;2;155;2;7190;1;13;3
32;114;5589;Français;236;Chef de projet;2;155;2;7720;1;14;3
34;114;5589;Français;236;Responsable de secteur;2;155;2;7720;1;14;3
36;114;5589;Français;236;Responsable de secteur;2;155;2;8250;1;15;3
38;114;5589;Français;236;Communication, entretiens et gestion  des conflits;2;155;2;1110;1;2;3
40;114;5589;Français;236;Conduite du personnel;2;155;2;1640;1;3;3
42;114;5589;Français;236;Méthode personnelle de travail;2;155;2;1110;1;2;3
44;114;5589;Français;236;Penser et agir économiquement;2;155;2;1110;1;2;3
46;114;5589;Français;236;Formation à la place de travail et  sécurité;2;155;2;1110;1;2;3
48;114;5589;Français;224;Gestion de projet;2;155;2;1640;1;3;3
50;114;5589;Français;236;Conduite d'équipe de projet;2;155;2;1110;1;2;3
52;114;5589;Français;236;Présenter et convaincre;2;155;2;1110;1;2;3
54;114;5589;Français;236;Gestion écononique et financière;2;155;2;1640;1;3;3
56;114;5589;Français;236;Optimisation des processus et résolution  de problèmes;2;155;2;1110;1;2;3
58;114;5589;Français;236;Comportement orienté clients;2;155;2;1110;1;2;3
60;114;5589;Français;236;Maître dans l'industrie MI;2;170;2;16300;1;60;3
61;114;5589;Français;236;Dirigeant de maintenance DM;2;170;2;16300;1;60;3
62;114;5589;Français;236;Dirigeant en facility management;2;170;2;16300;1;60;3
65;114;5589;Français;222;Animateur de formations pour adultes;2;155;2;4500;1;14;3
66;114;5589;Français;222;Formateur d'adulte;3;165;2;9350;1;24;3
67;105;5586;Français;254;Santé des populations vieillisantes;1;180;5;14000;1;53;3
68;105;5586;Français;254;Action comunautaire en promotion de la santé;1;180;5;13700;1;52.5;4
69;105;5586;Français;254;Intervention spécifique de l'infirmière de Santé au travail;1;169;5;6500;1;26;4
70;105;5586;Français;254;Leadership éthique et responsabilité profesionnelle dans les organisations  de soins;1;169;5;4400;1;15;4
72;105;5586;Français;254;Intégration des savoir scientifique dans les pratiques professionnelles de la santé;1;169;5;6000;1;25;4
73;105;5586;Français;254;Aspects et soins médico-légaux dans le domaine de la violence interpersonnelle;1;169;2;4400;1;14;3
74;105;5586;Français;254;Evaluation clinique infirmière;1;169;2;6500;1;24;3
75;105;5586;Français;254;Notions fondamentales de psychogériatrie de l'âge avancé et accompagnement des équipes;2;155;4;2100;1;8;3
76;105;5586;Français;254;Maltraitance envers les personnes âgées: aspects et soins-légaux;2;155;2;2200;1;7;3
77;105;5586;Français;254;Santé de l'enfant, de l'adolescent et de la famille;1;180;7;0;4;0;6
78;105;5586;Français;254;Interprofessionel en addictions;1;169;7;0;4;0;6
79;105;5586;Français;254;Soins à l'enfant en milieu hospitalier;1;169;7;0;4;0;6
80;105;5586;Français;254;Gestion de la douleur selon la théorie de gestion des symptômes;1;169;7;0;4;0;6
81;105;5586;Français;254;Migration et sociétés plurielles;1;169;7;0;4;22;3
82;118;5586;Français;254;Sciences infimières (MscSI);1;195;2;0;4;24;4
83;118;5586;Français;254;Sciences infimières (PhD SI);4;185;2;0;4;36;4
84;118;5586;Français;265;Baccaloréat universitaire de théologie;3;163;2;0;4;36;4
85;118;5586;Français;265;Baccaloréat universitaire en science des  religions;3;163;2;0;4;36;4
86;118;5586;Français;265;Maîtrise universitaire de théologie;3;192;2;0;4;24;4
87;118;5586;Français;265;Maîtrise universitaire en science des  religions;3;192;2;0;4;0;6
88;118;5586;Français;211;Baccaloréat universitaire en droit;3;163;2;0;4;36;4
89;118;5586;Français;211;Maîtrise universitaire en droit;3;192;2;0;4;18;4
90;118;5586;Français;211;Maîtrise universitaire en droit des  universités de Zurich et Lausanne;3;192;2;0;4;12;4
91;118;5586;Français;211;Maîtrise universitaire en sciences  criminelles/ mention criminologie;3;192;2;0;4;24;4
92;118;5586;Français;211;Maîtrise universitaire en droit en sciences criminelles/ mention magistrature;3;192;2;0;4;24;4
93;118;5586;Français;211;Maîtrise universitaire en droit, criminalité et sécurité des technologies de l'information;3;192;2;0;4;0;6
94;118;5586;Français;211;Maîtrise universitaire en droit et économie;3;192;2;0;4;18;4
95;118;5586;Français;211;Maîtrise universitaire en politique et  management publics;3;192;2;0;4;24;4
96;118;5586;Français;267;Maîtrise universitaire en études du tourisme;3;192;2;0;4;24;4
97;118;5586;Français;211;Baccaloréat universitaire ès science forensique;3;163;2;0;4;36;4
98;118;5586;Français;211;Maîtrise universitaire ès Sciences forensique/ mention criminalistique chimique;3;192;2;0;4;24;4
99;118;5586;Français;211;Maîtrise universitaire ès Science forensique, mention identification physique;3;192;2;0;4;24;4
100;118;5586;Français;211;Maîtrise universitaire en droit en sciences criminelles/ mention criminologie et sécurité;3;192;2;0;4;24;4
101;118;5586;Français;211;Maîrtise universitaire ès Sciences en traçologie et analyse de la criminalité;3;192;2;0;4;24;4
102;118;5586;Français;233;Baccaloréat universitaire ès Lettres;3;163;2;0;4;36;4
103;118;5586;Français;233;Maîtrise universitaire ès Lettres;3;192;2;0;4;18;4
104;118;5586;Français;233;Maîtrise universitaire ès Lettres avec spécialisation;3;192;2;0;4;24;4
105;118;5586;Français;212;Baccaloréat universitaire en science politique;3;163;2;0;4;36;4
106;118;5586;Français;212;Maîtrise universitaire en science politique;3;192;2;0;4;24;4
107;118;5586;Français;212;Maîtrise universitaire en sciences sociles;3;192;2;0;4;24;4
108;118;5586;Français, Anglais;236;Maîtrise universitaire en politique et management publics;3;192;2;0;4;24;4
109;118;5586;Français;213;Master en sciences et pratiques de l'éducation;1;194;2;0;4;18;4
110;118;5586;Français;213;Master en sciences et pratiques de l'éducation avec spécialisation;1;194;2;0;4;24;4
111;118;5586;Anglais;244;Maîtrise universiataire en méthodologie d'enquête et opinion publique;3;192;2;0;4;18;4
112;80;5586;Anglais;235;Global Supply Chain management;1;193;2;18800;4;12;4
113;80;5586;Français;226;Expertise dans l'immobilier;1;193;2;0;4;30;4
114;118;5586;Anglais;254;Healthcare Management Focus;1;186;4;0;4;15;4
116;118;5586;Anglais;223;International Taxation (MASIT);1;193;2;0;4;12;4
117;68;2206;Français;224;Utilisation de MS Project;2;155;2;665;1;2;3
118;68;2206;Français;235;Préparation informatique pour le diplôme fédéral de logisticien;2;155;2;665;1;2;3
119;68;2206;Français;235;Dipôme fédéral de logisticien;3;184;3;13450;1;0;6
120;68;2206;Français;235;Préparation informatique pour le brevet  fédéral de logisticien;2;155;2;665;1;2;3
121;68;2206;Français;235;Brevet fédéral de logisticien;3;165;3;11100;1;12;4
122;68;2206;Français;222;Complément du cours pour formateur en  entreprise logisticien (AFP/CFC);2;155;2;310;1;1;3
123;68;2206;Français;222;Cours pour formateurs en entreprise "Logisticien";2;155;2;866;1;5;3
124;68;2206;Français;222;Techniques de présentation et d'animation;2;155;2;450;1;1;3
125;68;2206;Français;236;Formation pour chef d'équipe (Module 1);2;155;2;1050;1;3;3
126;68;2206;Français;236;Formation pour chef d'équipe (Module 2);2;155;2;650;1;2;3
127;68;2206;Français;235;Gestion des produits (module 1);2;155;2;665;1;1;3
128;68;2206;Français;235;Gestion des produits (module 2);2;155;2;450;1;1;3
129;68;2206;Français;235;Préparer, conditionner des marchandises en vue de l'expédier;2;155;2;380;1;1;3
130;68;2206;Français;235;Charger correctement;2;155;2;380;1;1;3
131;68;2206;Français;235;Démontrateur/ Plateforme élévtatrice;2;168;2;650;1;1;3
132;68;2206;Français;235;Opérateur/ Plateforme élévatrice;2;168;2;650;1;1;3
133;68;2206;Français;235;Formation pour contrepoids et latéral;2;198;2;410;1;1;3
134;68;2206;Français;235;Formation pour contrepoids et latéral;2;198;2;845;1;2;3
135;68;2206;Français;235;Formation pour contrepoids et latéral;2;198;2;1450;1;4;3
136;68;2206;Français;235;Cours de répétition pour instructeurs caristes;2;155;2;430;1;1;3
137;68;2206;Français;235;Formation d'instructeur cartiste;2;159;2;2850;1;7.5;3
138;68;2206;Français;235;Formation pour chariot télescopiques ;2;198;2;410;1;1;3
139;68;5749;Français;235;Formation pour chariot télescopiques ;2;198;2;410;1;1;3
